NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,FECHA
25,666,L,V,L,L,V,L,L,V,E,24/11/2023
25,665,L,V,L,E,V,L,E,E,E,17/11/2023
25,664,L,L,L,L,L,V,V,L,V,09/11/2023
25,663,V,V,E,V,L,V,L,L,L,03/11/2023
25,662,E,L,L,V,E,V,L,L,V,26/10/2023
25,661,E,L,L,L,E,L,V,L,L,20/10/2023
25,660,E,V,L,L,V,V,V,V,V,13/10/2023
25,659,E,L,V,L,L,E,E,L,V,05/10/2023
25,658,E,V,V,E,E,L,V,L,L,29/09/2023
25,657,V,L,E,L,V,L,L,V,E,21/09/2023
25,656,E,L,V,L,L,E,V,L,L,14/09/2023
25,655,L,E,L,E,L,L,V,V,V,08/09/2023
25,654,L,V,L,E,V,L,L,V,V,01/09/2023
25,653,L,L,L,L,L,L,L,V,E,24/08/2023
25,652,E,L,L,L,E,L,L,V,L,18/08/2023
25,651,E,L,E,L,L,E,L,V,V,11/08/2023
25,650,E,L,L,L,E,V,L,L,V,04/08/2023
25,649,L,E,V,V,L,V,V,V,L,28/07/2023
25,648,L,V,L,V,V,L,V,L,E,21/07/2023
25,647,E,L,E,L,E,L,V,L,V,14/07/2023
25,646,E,E,L,E,E,E,E,L,L,06/07/2023
25,645,V,L,E,E,L,L,V,L,V,30/06/2023
25,644,E,L,L,E,L,E,L,E,L,23/06/2023
25,643,L,V,E,L,L,L,L,L,V,16/06/2023
25,642,L,V,L,E,L,L,L,E,E,08/06/2023
25,641,L,E,V,L,L,E,L,V,V,02/06/2023
25,640,E,L,L,E,L,V,V,L,E,26/05/2023
25,639,E,V,V,L,L,E,E,V,V,19/05/2023
25,638,E,V,L,L,E,V,E,L,L,12/05/2023
25,637,L,L,L,E,V,L,E,L,V,04/05/2023
25,636,L,E,E,V,V,L,E,L,E,27/04/2023
25,635,E,L,E,V,E,E,L,L,E,21/04/2023
25,634,L,V,L,L,L,L,E,E,E,14/04/2023
25,633,V,E,V,L,V,L,E,L,V,05/04/2023
25,632,E,V,L,L,L,E,L,V,V,31/03/2023
25,631,V,V,L,L,L,V,E,E,V,24/03/2023
25,630,L,E,L,L,V,V,E,E,L,16/03/2023
25,629,E,L,E,L,E,L,E,L,L,10/03/2023
25,628,L,L,E,E,L,L,V,V,L,03/03/2023
25,627,L,V,V,V,E,L,V,L,L,24/02/2023
25,626,E,L,V,L,L,L,V,L,E,16/02/2023
25,625,V,V,E,V,L,E,L,E,V,10/02/2023
25,624,E,L,V,V,L,L,L,L,L,03/02/2023
25,623,E,L,L,L,L,V,V,E,L,27/01/2023
25,622,V,V,E,V,V,V,V,V,L,20/01/2023
25,621,L,V,E,L,E,E,E,E,L,13/01/2023
25,620,E,V,V,E,V,L,L,V,L,05/01/2023
25,619,V,E,V,E,E,V,E,E,E,29/12/2022
25,618,E,L,E,V,V,L,L,E,L,23/12/2022
25,617,E,L,V,L,L,L,E,E,V,18/12/2022
25,616,L,L,E,E,E,E,E,L,L,16/12/2022
25,615,E,E,L,V,L,V,V,V,L,12/12/2022
25,614,L,L,L,L,E,L,E,L,V,06/12/2022
25,613,V,V,V,V,E,V,V,L,V,02/12/2022
25,612,L,L,E,L,L,V,V,E,E,25/11/2022
25,611,V,V,L,L,V,L,L,E,V,18/11/2022
25,610,L,L,V,V,L,L,E,L,L,10/11/2022
25,609,L,V,L,V,V,V,V,L,V,03/11/2022
25,608,V,V,E,L,E,L,V,V,L,28/10/2022
25,607,L,L,L,L,E,L,L,L,E,21/10/2022
25,606,V,E,L,L,E,V,V,E,V,14/10/2022
25,605,V,L,L,L,E,L,L,V,E,05/10/2022
25,604,V,E,L,V,V,V,L,E,V,29/09/2022
25,603,L,E,V,L,V,L,L,E,L,23/09/2022
25,602,V,E,L,L,L,V,L,L,E,15/09/2022
25,601,L,L,L,L,E,L,L,L,V,08/09/2022
25,600,V,E,E,L,V,L,V,E,E,02/09/2022
25,599,L,V,E,L,V,V,E,L,V,26/08/2022
25,598,V,E,E,E,V,V,L,L,L,19/08/2022
25,597,L,L,E,E,L,V,E,V,E,12/08/2022
25,596,E,E,L,L,E,V,E,V,E,05/08/2022
25,595,E,V,L,V,E,V,E,L,E,28/07/2022
25,594,V,E,V,E,E,L,E,E,L,22/07/2022
25,593,L,L,V,L,V,L,L,L,L,15/07/2022
25,592,V,V,E,V,V,E,E,V,E,08/07/2022
25,591,L,L,E,V,E,L,L,V,E,30/06/2022
25,590,L,V,E,V,L,L,L,E,V,23/06/2022
25,589,E,E,E,V,V,V,L,L,L,15/06/2022
25,588,V,E,L,V,L,V,V,E,V,10/06/2022
25,587,V,V,L,V,E,L,V,V,V,03/06/2022
25,586,L,L,L,L,V,V,L,E,V,27/05/2022
25,585,E,L,E,L,E,E,V,E,V,20/05/2022
25,584,E,V,V,E,E,V,E,L,E,13/05/2022
25,583,L,V,L,L,L,L,V,E,L,05/05/2022
25,582,E,L,L,L,V,E,L,E,V,28/04/2022
25,581,L,L,V,L,L,L,L,E,V,22/04/2022
25,580,V,V,E,V,V,L,E,E,V,14/04/2022
25,579,E,L,L,L,V,V,L,L,L,08/04/2022
25,578,L,L,L,L,V,E,L,E,V,31/03/2022
25,577,E,E,L,E,L,L,L,L,L,25/03/2022
