NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,BOLSA,FECHA
30,198,L,V,D,V,L,D,L,D,D,L,L,D,V,0,02/10/1994
30,197,D,L,L,V,V,V,D,L,L,D,L,L,D,0,25/09/1994
30,196,V,L,V,D,L,V,D,D,L,V,V,V,L,0,18/09/1994
30,195,V,D,L,L,L,L,V,V,L,D,D,V,V,0,11/09/1994
30,194,L,L,V,D,V,V,D,L,D,D,V,D,V,0,04/09/1994
30,193,L,L,L,L,L,L,D,L,D,L,D,D,D,0,28/08/1994
30,192,D,L,L,L,D,D,L,D,V,L,D,V,L,0,21/08/1994
30,191,D,L,V,L,V,L,V,D,D,V,L,V,D,0,15/08/1994
30,190,D,L,D,L,L,L,L,D,V,L,V,L,V,0,07/08/1994
30,189,D,D,V,L,D,L,D,V,L,L,L,D,V,0,02/01/1994
30,188,D,D,D,L,L,L,D,V,L,L,V,L,L,0,26/12/1993
30,187,V,V,L,V,V,L,D,D,D,D,V,L,V,0,19/12/1993
30,186,D,D,D,D,D,D,L,D,V,V,D,D,V,0,12/12/1993
30,185,D,L,L,D,D,V,D,D,D,D,V,L,D,0,05/12/1993
30,184,V,D,L,D,D,D,D,D,D,L,V,D,V,0,28/11/1993
30,183,D,L,D,D,L,L,V,L,D,D,D,L,D,0,21/11/1993
30,182,L,D,D,V,D,D,V,L,V,L,V,D,V,0,14/11/1993
30,181,L,L,L,D,V,L,V,V,L,L,D,L,L,0,07/11/1993
30,180,L,V,L,L,V,L,D,D,V,L,D,V,L,0,31/10/1993
30,179,D,D,L,V,L,V,V,L,V,D,D,D,L,0,24/10/1993
30,178,V,V,V,L,D,V,V,L,L,L,D,L,L,0,17/10/1993
30,177,L,L,V,V,V,D,V,V,V,L,L,D,D,0,10/10/1993
30,176,V,L,D,L,D,L,L,L,L,L,V,D,L,0,03/10/1993
30,175,D,D,L,V,L,L,D,V,V,D,L,D,V,0,26/09/1993
30,174,D,V,D,D,V,L,L,L,D,D,L,D,D,0,19/09/1993
30,173,D,L,D,L,D,D,D,D,L,V,D,V,L,0,12/09/1993
30,172,V,D,L,L,V,V,D,D,L,L,D,D,L,0,05/09/1993
30,171,V,D,L,L,L,D,D,L,L,L,V,D,L,0,27/12/1992
30,170,L,L,D,D,L,D,L,D,D,L,V,D,D,0,20/12/1992
30,169,L,L,V,L,D,D,L,L,D,L,V,D,D,0,13/12/1992
30,168,V,L,L,L,D,L,V,D,D,L,L,D,V,0,06/12/1992
30,167,L,L,V,L,V,L,L,L,V,D,D,V,D,0,29/11/1992
30,166,D,L,D,D,V,D,L,V,D,L,L,V,L,0,22/11/1992
30,165,D,D,D,D,D,D,D,D,D,L,D,D,L,0,15/11/1992
30,164,D,V,V,L,L,V,V,V,L,D,L,D,V,0,08/11/1992
30,163,L,V,L,V,D,D,L,L,D,L,L,L,L,0,01/11/1992
30,162,L,L,D,V,L,V,D,L,D,D,V,D,V,0,25/10/1992
30,161,D,V,L,L,L,D,V,L,L,D,V,V,L,0,18/10/1992
30,160,D,L,L,D,D,L,L,L,V,L,L,V,D,0,11/10/1992
30,159,L,D,D,D,L,V,V,D,D,D,D,L,D,0,04/10/1992
30,158,L,L,L,L,L,V,V,V,L,D,D,L,L,0,27/09/1992
30,157,V,D,L,D,D,V,D,D,V,D,L,L,V,0,20/09/1992
30,156,D,L,L,D,L,D,L,L,D,V,L,L,L,0,13/09/1992
30,155,V,V,L,D,L,D,D,D,D,V,D,L,V,0,06/09/1992
30,154,D,V,D,L,D,L,L,D,D,V,D,D,L,0,22/12/1991
30,153,V,L,L,L,V,L,D,D,D,D,L,L,D,0,15/12/1991
30,152,V,V,L,D,L,D,L,D,V,D,L,D,D,0,08/12/1991
30,151,V,D,D,D,V,D,L,L,V,L,L,D,V,0,01/12/1991
30,150,D,D,D,V,L,D,D,V,D,V,V,D,L,0,24/11/1991
30,149,L,V,L,D,V,V,L,V,D,L,L,D,L,0,17/11/1991
30,148,V,L,V,D,L,D,D,D,L,V,D,V,D,0,10/11/1991
30,147,D,L,L,D,L,D,D,D,L,L,V,D,D,0,03/11/1991
30,146,V,L,L,D,L,D,V,L,D,V,L,V,L,0,27/10/1991
30,145,V,D,V,D,V,V,D,L,D,D,L,D,D,0,20/10/1991
30,144,D,L,L,V,L,L,L,D,V,L,D,L,D,0,13/10/1991
30,143,V,V,D,D,L,V,D,D,D,D,V,L,V,0,06/10/1991
30,142,D,V,V,L,L,V,D,D,D,L,D,L,L,0,29/09/1991
30,141,L,D,V,D,V,D,D,L,L,L,L,L,V,0,22/09/1991
30,140,L,D,L,D,V,L,D,D,D,D,D,D,L,0,15/09/1991
30,139,D,D,V,L,L,D,D,V,V,L,L,D,L,0,08/09/1991
30,138,L,L,D,D,V,V,V,L,D,D,V,D,L,0,01/09/1991
30,137,V,V,D,L,L,D,D,D,L,L,L,D,D,0,30/12/1990
30,136,V,D,L,L,L,L,L,L,L,L,D,D,D,0,23/12/1990
30,135,D,D,V,D,L,V,V,L,L,D,L,L,L,0,16/12/1990
30,134,V,L,V,L,L,L,V,D,D,D,L,D,D,0,09/12/1990
30,133,L,D,D,D,V,V,L,L,D,D,D,D,L,0,02/12/1990
30,132,D,L,D,D,L,V,V,L,L,D,V,L,V,0,25/11/1990
30,131,V,L,V,L,L,D,L,D,D,D,D,D,L,0,18/11/1990
30,130,D,V,D,D,D,V,V,L,D,L,L,V,V,0,11/11/1990
30,129,L,D,D,L,V,L,L,V,L,D,V,D,V,0,04/11/1990
30,128,L,L,V,V,V,V,L,D,D,V,D,L,L,0,28/10/1990
30,127,D,V,D,D,V,L,D,D,L,L,D,L,V,0,21/10/1990
30,126,D,L,D,D,L,L,V,V,V,L,D,V,L,0,14/10/1990
30,125,V,V,V,V,D,D,D,L,D,V,D,D,L,0,07/10/1990
30,124,L,V,L,L,D,D,D,V,D,L,L,V,V,0,30/09/1990
30,123,D,D,L,V,L,D,L,L,V,D,D,L,D,0,23/09/1990
30,122,D,L,L,V,D,D,D,V,D,L,V,D,L,0,16/09/1990
30,121,V,L,L,D,D,V,L,L,L,D,D,L,D,0,09/09/1990
30,120,V,V,D,V,V,L,D,L,D,L,V,L,D,0,24/12/1989
30,119,L,V,V,L,L,D,L,V,L,L,L,D,D,0,17/12/1989
30,118,D,L,L,V,V,D,V,D,V,D,D,V,D,0,10/12/1989
30,117,V,V,D,V,D,D,D,L,V,V,D,D,V,0,03/12/1989
30,116,D,V,V,L,L,L,D,V,D,L,D,L,D,0,26/11/1989
30,115,D,L,L,D,D,D,V,D,D,D,L,L,L,0,19/11/1989
30,114,L,V,D,L,L,V,V,D,V,L,V,D,L,0,12/11/1989
30,113,D,D,D,V,D,D,D,D,L,L,V,D,L,0,05/11/1989
30,112,D,D,L,L,D,L,V,L,L,D,D,V,L,0,29/10/1989
30,111,L,D,V,D,L,L,D,V,L,D,L,V,V,0,22/10/1989
30,110,D,L,D,V,D,V,D,L,D,L,V,V,D,0,15/10/1989
30,109,L,L,V,D,L,L,L,D,L,D,D,D,D,0,08/10/1989
30,108,D,D,D,V,L,L,V,L,D,D,V,V,D,0,01/10/1989
30,107,D,D,V,L,L,L,V,V,V,D,L,L,V,0,24/09/1989
30,106,D,D,V,D,L,D,L,L,V,L,L,V,D,0,17/09/1989
30,105,D,L,V,D,D,D,D,V,L,L,D,L,L,0,10/09/1989
30,104,D,L,D,V,D,L,D,L,D,L,D,V,V,0,18/12/1988
30,103,L,D,L,D,L,V,L,L,D,L,L,D,L,0,11/12/1988
30,102,D,L,D,D,L,D,L,L,V,D,D,D,D,0,04/12/1988
30,101,V,L,L,L,D,D,D,L,L,L,D,V,D,0,27/11/1988
30,100,V,V,L,V,L,L,D,V,D,L,D,D,V,0,20/11/1988
30,99,V,D,V,V,D,D,D,D,L,D,D,D,L,0,13/11/1988
30,98,L,L,L,L,L,D,L,L,D,V,D,L,D,0,06/11/1988
30,97,V,D,D,D,L,L,L,D,D,D,L,D,D,0,30/10/1988
30,96,L,D,L,D,D,L,V,D,V,V,V,L,V,0,23/10/1988
30,95,L,V,V,D,D,L,V,D,L,L,D,D,L,0,16/10/1988
30,94,D,L,D,V,V,D,L,V,D,L,L,D,V,0,09/10/1988
30,93,D,L,D,V,V,D,L,V,D,L,L,D,V,0,02/10/1988
30,92,D,V,D,L,D,D,L,V,L,V,L,D,V,0,25/09/1988
30,91,D,L,L,L,D,D,L,D,V,V,V,L,D,0,18/09/1988
30,90,D,D,L,L,D,D,L,V,V,D,L,D,D,0,11/09/1988
30,89,L,D,D,D,V,L,D,L,V,L,L,D,V,0,04/09/1988
