NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,BOLSA,FECHA
30,786,L,V,D,V,V,D,D,V,V,L,D,L,D,8000000,23/11/2021
30,785,L,L,D,D,L,V,V,V,L,V,L,V,V,11500000,16/11/2021
30,784,D,V,V,D,V,L,L,D,D,V,V,D,V,10600000,09/11/2021
30,783,D,D,D,V,V,D,L,D,L,L,L,D,D,9700000,02/11/2021
30,782,L,L,L,L,D,V,L,L,L,V,D,V,D,8600000,26/10/2021
30,781,D,V,V,L,V,V,L,D,V,V,D,D,D,7600000,19/10/2021
30,780,D,V,D,L,D,L,D,D,V,L,L,V,D,6700000,12/10/2021
30,779,V,L,D,V,L,V,D,V,V,L,V,D,L,5900000,05/10/2021
30,778,L,D,V,L,D,V,L,L,D,L,L,D,L,5100000,28/09/2021
30,777,V,V,D,D,V,D,L,L,D,L,D,D,D,4300000,20/09/2021
30,776,D,V,D,V,V,V,V,D,L,V,D,L,D,3600000,14/09/2021
30,775,V,L,D,L,D,L,V,D,L,D,L,D,V,2800000,30/08/2021
30,774,D,V,V,V,L,V,D,D,D,D,V,D,D,2500000,23/08/2021
30,773,V,V,D,D,L,V,D,D,V,D,L,V,D,2400000,15/08/2021
30,772,D,V,V,L,V,V,D,L,L,V,L,D,L,2300000,08/02/2021
30,771,D,L,D,D,D,D,L,V,V,L,D,L,D,1900000,04/01/2021
30,770,V,D,V,D,D,V,D,L,D,L,L,L,V,1650000,29/12/2020
30,769,V,L,L,L,D,D,L,D,L,L,L,D,V,1500000,21/12/2020
30,768,L,V,D,V,L,D,V,V,D,D,V,L,D,1500000,15/12/2020
30,767,D,D,D,D,D,D,D,D,V,V,L,D,V,3500000,08/12/2020
30,766,V,D,D,D,V,D,L,L,D,V,D,L,D,2800000,01/12/2020
30,765,L,L,V,L,D,L,D,L,D,D,D,D,D,3500000,24/11/2020
30,764,L,D,D,V,L,L,D,L,L,L,D,D,V,2700000,17/11/2020
30,763,D,L,L,D,D,V,L,L,D,D,D,V,V,2050000,09/11/2020
30,762,D,L,D,V,V,D,D,L,D,L,L,D,V,1600000,03/11/2020
30,761,D,L,D,V,D,D,D,L,V,V,V,L,V,1500000,27/10/2020
30,760,D,L,D,D,V,V,D,V,D,L,L,V,V,5500000,20/10/2020
30,759,V,L,V,L,V,V,D,L,D,D,D,L,L,5000000,13/10/2020
30,758,L,L,V,V,D,V,L,V,L,V,L,D,L,7200000,06/10/2020
30,757,L,V,L,D,L,D,D,D,L,V,D,V,V,6500000,29/09/2020
30,756,D,L,D,V,D,L,D,D,L,D,V,D,L,5700000,22/09/2020
30,755,L,V,L,D,D,L,V,D,D,L,D,V,D,4900000,15/09/2020
30,754,V,V,D,D,V,D,L,L,L,L,L,D,L,4300000,03/02/2020
30,753,L,V,D,V,V,L,V,L,L,D,D,L,D,2700000,30/12/2019
30,752,L,D,D,D,D,L,V,L,V,V,L,V,V,3300000,24/12/2019
30,751,V,D,L,L,V,D,L,V,D,L,L,V,L,2700000,17/12/2019
30,750,L,D,D,D,L,V,V,V,D,V,V,L,D,2100000,10/12/2019
30,749,V,L,D,V,L,D,V,D,L,D,L,V,D,1500000,03/12/2019
30,748,L,D,V,D,V,D,L,L,D,L,V,D,D,1500000,26/11/2019
30,747,V,V,L,V,L,D,V,V,L,V,L,V,V,1500000,19/11/2019
30,746,V,D,L,L,D,D,V,D,L,D,D,D,D,3950000,12/11/2019
30,745,V,L,D,L,D,L,D,L,L,D,L,V,L,3400000,05/11/2019
30,744,V,D,D,V,D,D,L,L,D,L,V,L,D,3200000,28/10/2019
30,743,V,V,L,V,L,D,V,D,V,V,L,L,V,4000000,21/10/2019
30,742,V,D,L,V,V,D,V,D,L,V,D,L,D,3500000,15/10/2019
30,741,L,V,D,D,L,L,D,V,V,V,D,L,L,2850000,08/10/2019
30,740,V,L,V,D,D,V,D,V,L,D,D,L,L,2700000,01/10/2019
30,739,D,D,D,D,L,D,V,D,D,V,V,V,D,2000000,24/09/2019
30,738,V,D,D,V,V,D,D,V,L,D,D,V,D,1590000,17/09/2019
30,737,D,D,L,V,V,V,L,D,L,D,L,D,L,1500000,10/09/2019
30,736,V,D,D,D,D,D,V,V,D,L,L,D,D,1500000,30/08/2019
30,735,V,L,L,D,L,D,L,V,V,V,D,V,V,1500000,26/08/2019
30,734,V,V,L,V,L,V,D,D,L,D,D,D,V,1500000,20/08/2019
30,733,L,L,L,V,L,V,L,D,V,L,V,L,L,1500000,11/08/2019
30,732,V,D,D,D,L,L,D,L,D,D,V,L,V,1500000,04/02/2019
30,731,D,L,V,V,V,L,V,V,D,D,D,V,L,3200000,31/12/2018
30,730,V,L,L,V,D,D,V,D,V,D,D,L,L,2400000,25/12/2018
30,729,L,D,L,L,L,V,D,D,L,D,L,V,D,1800000,18/12/2018
30,728,D,V,V,D,D,D,L,D,D,V,D,L,L,1550000,11/12/2018
30,727,V,L,D,D,D,L,V,V,D,L,L,D,L,1500000,04/12/2018
30,726,V,L,D,L,D,V,D,L,D,L,L,L,L,1500000,27/11/2018
30,725,D,D,D,D,D,L,D,D,D,L,D,D,L,1500000,20/11/2018
30,724,V,L,L,L,V,V,D,V,D,L,V,D,L,2100000,13/11/2018
30,723,V,L,V,L,V,L,V,D,V,L,L,V,V,1550000,06/11/2018
30,722,D,L,L,V,V,D,L,L,V,D,D,V,V,1500000,30/10/2018
30,721,D,V,D,V,V,L,D,V,D,D,V,L,D,1500000,23/10/2018
30,720,D,D,V,L,V,V,L,D,D,V,L,D,D,4000000,16/10/2018
30,719,L,L,L,L,D,D,L,L,V,D,D,D,L,3400000,09/10/2018
30,718,L,L,D,D,D,L,D,D,D,V,D,V,D,2700000,02/10/2018
30,717,D,L,L,L,L,D,D,L,D,L,L,D,D,2300000,25/09/2018
30,716,L,V,D,D,D,V,D,D,L,L,D,L,L,1750000,18/09/2018
30,715,L,D,L,L,L,V,V,D,L,V,D,V,V,1570000,11/09/2018
30,714,D,V,D,D,L,V,L,V,L,L,V,D,V,1500000,31/08/2018
30,713,D,V,D,D,L,L,D,L,D,V,L,V,V,1500000,27/08/2018
30,712,L,D,V,V,L,D,D,D,V,D,D,L,D,1500000,21/08/2018
30,711,D,D,D,L,L,L,V,D,D,L,D,V,L,1500000,12/08/2018
30,710,L,D,V,D,L,D,D,D,D,L,V,D,D,1500000,05/02/2018
30,709,D,D,L,L,D,L,L,L,L,D,L,D,D,1950000,01/01/2018
30,708,L,L,L,L,D,L,D,V,L,L,V,V,L,1500000,26/12/2017
30,707,L,V,L,L,L,D,D,L,V,D,D,D,D,1500000,19/12/2017
30,706,D,V,D,L,V,V,L,L,D,V,D,D,L,1500000,12/12/2017
30,705,D,L,L,L,D,L,V,D,L,L,V,L,D,1500000,05/12/2017
30,704,D,D,L,L,L,L,V,V,D,D,L,D,L,1500000,28/11/2017
30,703,D,V,V,L,V,L,D,D,L,D,V,V,D,1600000,21/11/2017
30,702,V,L,D,D,V,D,V,D,L,L,L,V,L,1500000,14/11/2017
30,701,D,L,L,V,D,L,D,V,D,L,D,V,L,1500000,07/11/2017
30,700,V,D,V,L,L,L,L,D,D,V,D,L,V,1500000,31/10/2017
30,699,D,L,L,V,V,L,D,V,L,L,V,L,L,2500000,24/10/2017
30,698,D,L,L,L,D,V,D,D,V,D,D,V,L,2300000,17/10/2017
30,697,D,D,D,D,D,D,V,L,D,V,D,V,D,2000000,10/10/2017
30,696,V,L,D,D,V,D,V,D,D,D,D,L,L,2200000,03/10/2017
30,695,L,L,L,V,D,D,L,D,D,D,V,L,V,1800000,26/09/2017
30,694,L,L,V,L,V,D,D,L,D,D,V,L,V,1600000,20/09/2017
30,693,L,V,V,V,V,L,D,V,L,V,L,L,D,1500000,12/09/2017
30,692,D,D,L,D,L,D,D,D,D,L,L,L,D,1500000,01/09/2017
30,691,L,D,D,L,V,D,D,D,D,D,V,D,D,1500000,28/08/2017
30,690,D,V,D,L,L,V,D,L,D,D,D,D,D,1500000,21/08/2017
30,689,V,D,L,D,L,V,L,V,D,D,L,V,V,1500000,14/08/2017
30,688,L,L,L,L,L,D,D,L,L,L,D,L,D,1500000,08/02/2017
30,687,D,L,V,D,V,D,V,L,L,L,V,L,V,2700000,02/01/2017
30,686,D,L,L,V,V,L,L,D,D,D,D,L,L,2300000,27/12/2016
30,685,D,D,D,D,L,V,D,V,L,V,D,D,V,2000000,20/12/2016
30,684,D,D,D,V,D,L,D,V,D,D,V,L,L,1600000,13/12/2016
30,683,D,V,L,V,L,L,L,L,L,L,V,L,V,1500000,06/12/2016
30,682,D,L,D,L,V,L,L,V,L,D,D,D,V,1500000,29/11/2016
30,681,V,L,L,L,D,D,D,D,D,V,L,L,L,1500000,22/11/2016
30,680,D,D,D,L,D,L,D,L,V,D,D,V,D,3400000,15/11/2016
